x,y,Hole depth (m)
534.3180178,727.5507651,544.286903
539.7628279,727.8607193,549.7405282
545.207638,728.0962845,555.1904316
550.652448,728.0714882,560.6352982
556.0972581,728.282257,566.0841862
561.5420682,728.3318497,571.5292221
566.9868782,728.5178222,576.9772072
572.4316883,728.6418039,582.4234287
577.8764984,728.864971,587.8728103
583.3213085,729.1129343,593.3232638
588.7661185,729.5716666,598.787364
594.2109286,729.9312135,604.2440325
599.6557387,730.2783622,609.699898
605.1005487,730.5511219,615.1515358
610.5453588,730.8734743,620.6058798
615.9901689,731.3198084,626.0689531
621.4349789,731.6421608,631.5232971
626.879789,732.0884949,636.9863705
632.3245991,732.534829,642.4494438
637.7694091,733.0803484,647.9215137
643.2142192,733.638266,653.3948334
648.6590293,734.1961836,658.8681531
654.1038393,734.7045085,664.3366402
659.5486494,735.3740096,669.8224572
664.9934595,736.204687,675.3302682
670.4382695,737.084957,680.8457765
675.8830796,738.1264031,686.3892922
681.3278897,739.1802475,691.9351505
686.7726997,740.3580735,697.5058983
692.2175098,741.6102886,703.0928473
697.6623199,742.9120963,708.6911203
703.1071299,744.3502839,714.3226689
708.55194,745.7388789,719.9417572
713.9967501,747.28865,725.6028301
719.4415601,748.8632174,731.2707415
724.8863702,750.4129885,736.9318145
730.3311803,752.0867413,742.6280769
735.7759903,753.7976886,748.335379
741.2208004,755.4838396,754.0352967
746.6656105,757.1575924,759.731559
752.1104205,758.8685397,765.4388612
757.5552306,760.6166815,771.1574236
763.0000407,762.2904343,776.853686
768.4448507,764.0757707,782.5837281
773.8896608,765.9106997,788.3294153
779.3344709,767.696036,794.0594574
784.7792809,769.5805577,799.821174
790.224091,771.3410977,805.5435387
795.6689011,773.2132212,811.3012121
801.1137112,774.9737611,817.0235768
806.5585212,776.7838938,822.7613932
812.0033313,778.6064246,828.5031329
817.4481414,780.3669646,834.2254976
822.8929514,782.1523009,839.9555397
828.3377615,783.9500354,845.6894569
833.7825716,785.7353718,851.419499
839.2273816,787.4959117,857.1418637
844.6721917,789.2316554,862.8566482
850.1170018,791.041788,868.5944646
855.5618118,792.7651335,874.3054957
861.0066219,794.562868,880.0394129
866.451432,796.2366208,885.7356753
871.896242,797.9847626,891.4542377
877.3410521,799.7948953,897.1920541
882.7858622,801.679417,902.9537708
888.2306722,803.4895496,908.6915872
893.6754823,805.3988676,914.4614617
899.1202924,807.1470095,920.1800241
904.5651024,808.7587714,925.8583807
910.0099125,810.4077279,931.5474064
915.4547226,811.9079063,937.1951044
920.8995326,813.3212976,942.8203716
926.3443427,814.6850962,948.4333836
931.7891528,815.850524,954.0015232
937.2339628,817.1027391,959.5884722
942.6787729,818.2929633,965.1618545
948.123583,819.3220113,970.7030544
953.568393,820.4130502,976.2561007
959.0132031,821.4049037,981.7905139
964.4580132,822.3223682,987.3120805
969.9028232,823.3142217,992.8464938
975.3476333,824.2316862,998.3680604
980.7924434,825.099558,1003.881604
986.2372534,826.0170225,1009.40317
991.6820635,826.9220889,1014.92269
997.1268736,827.8023589,1020.438199
1002.571684,828.7322215,1025.961839
1008.016494,829.7612696,1031.503039
1013.461304,830.7779194,1037.04195
1018.906114,831.8565601,1042.592573
1023.60845,832.6159479,1047.355832
